commit,n_solved,geo_mean_time,n_wrong,mean_objective,mean_regret,exact,multicore,status,model_name,description
baseline,46,0.473,1,0.3256,0.0182,approximate,false,baseline,gosdt,"reference C++ GOSDT (ICML 2020 code, default bounds, single thread) [NOT EXACT: scope-conditional lower bounds are cached unconditionally, verified false certificate on tic-tac-toe lambda=0.02 (baselines/gosdt_patches/scope-lowerbound.patch)]"
baseline,56,0.099,0,0.3102,0.0029,exact,false,baseline,pygosdt_v1,"pygosdt_v1 package: memoised depth-first branch-and-bound with the reference bounds, numba kernel"
baseline,38,0.454,0,0.3338,0.0264,approximate,true,baseline,gosdt_mc8,"reference C++ GOSDT with worker_limit=8 (8 TBB worker threads), otherwise as gosdt [NOT EXACT: same false certificate]"
8aee3e6,55,0.094,0,0.3147,0.0073,exact,false,keep,pygosdt_v1_flat,"pygosdt_v1 flattened into one file: memoised depth-first branch-and-bound over big-int capture sets with equivalent-points, leaf-support, look-ahead, similar-support and threshold-exchange bounds; numba popcount kernel"
745eadf,55,0.094,0,0.3147,0.0073,exact,false,discard,v2_group_simsupport,"similar-support bound propagated across every threshold of a numeric column: a proven bound v on split t gives lb >= v - |pot_t - pot_t'| for all thresholds t' of the same column (one vectorised slice update per proven value), replacing the immediate-neighbour check"
745eadf,61,0.029,0,0.3077,0.0003,exact,false,keep,v3_column_dp,"v2 + exact single-column segmentation DP at every node: trees over one numeric column's thresholds are exactly the segmentations of the sorted points, so a quadratic DP over cumulative class counts (from the nested threshold counts) gives the optimum when only one column splits the node (whole 1-D datasets solve at the root) and a valid incumbent tree per column otherwise"
ed280b1,62,0.025,0,0.3077,0.0003,exact,false,keep,v4_leaf_support_splits,"v3 + leaf-support split exclusion: every leaf of an optimal tree has cost-weighted support >= lambda (removing a smaller leaf saves lambda and costs at most its support), so a split whose child has potential < lambda is discarded at enumeration time instead of being kept with the child as a leaf"
cfccb6a,63,0.018,0,0.3077,0.0003,exact,false,keep,v5_fused_node_kernel,"v4 + one fused numba kernel per node: popcounts, class counts, leaf risks, potentials, equivalent-points losses, leaf-only tests, child lower bounds and the valid-split compaction are computed in a single @njit call instead of ~15 numpy calls, cutting the per-expansion interpreter overhead on narrow binary datasets"
cfccb6a,63,0.014,0,0.3077,0.0003,approximate,false,keep,v7_depth2_pairs,"v5 + duplicate-threshold removal (v6, no measurable effect alone) + MurTree-style pairwise counts: at a node where many splits survive the cheap filter, one O(m^2) kernel gives the exact best 2-leaf loss of every child, so nodes with budget < 4 lambda are solved exactly (at most 3 leaves fit; 4-leaf chains exceed the budget), children get lb = min(leaf, 2 lambda + best2, 3 lambda), and children with budget < 3 lambda are resolved without expansion [NOT EXACT: after a failed exact depth-2 resolution the stored lower bound could be <= budget, letting a caller treat an unsolved child as solved; fixed in v8]"
7a0c550,63,0.012,0,0.3077,0.0003,exact,false,keep,v8_sound_lb_lean_nodes,"v7 with a soundness fix and less per-node overhead: when the exact depth-2 stage proves a node exceeds its budget its lower bound is now min(best, 4 lambda) (the proof's quantity) so callers never mistake it for solved; the per-column incumbent DP runs only at the root of multi-column data (it cost 46% of fico's time); leaf statistics of new child nodes use integer popcounts instead of numpy for uniform costs"
